球団,選手名,4番出場回数,本塁打,OBP,SLG,OPS,打点,長打型スコア,総合型スコア,4番タイプ
DeNA,牧 秀悟,60,16,0.325,0.475,0.8,49,0.042,0.051,総合型
オリックス,杉本 裕太郎,74,16,0.332,0.426,0.758,53,-0.221,-0.179,総合型
ソフトバンク,山川 穂高,68,23,0.3,0.402,0.702,62,0.024,-0.738,長打型
ヤクルト,オスナ,64,14,0.307,0.377,0.684,67,-0.665,-0.812,長打型
ロッテ,山本 大斗,47,11,0.262,0.338,0.6,33,-1.15,-1.633,長打型
中日,細川 成也,75,20,0.367,0.489,0.856,58,0.443,0.672,総合型
巨人,岡本 和真,66,15,0.416,0.598,1.014,49,0.83,1.999,総合型
広島,末包 昇大,63,11,0.296,0.373,0.669,62,-0.894,-0.977,長打型
日本ハム,野村 佑希,52,8,0.325,0.398,0.723,35,-0.89,-0.449,総合型
楽天,ボイト,35,13,0.384,0.498,0.882,39,0.087,0.945,総合型
西武,ネビン,119,21,0.346,0.448,0.794,63,0.238,0.141,長打型
阪神,佐藤 輝明,126,40,0.345,0.579,0.924,102,2.156,0.979,長打型
